id,category,name,brand,retailer,aesthetics,palettes,warmth_min,warmth_max,occasions,colors,shape,search_url
t1,top,"Boxy cotton tee, cream",COS,cos.com,minimalist|streetwear,neutrals,55,95,casual|work-casual,#F0EAD8|#E8DFC9,top-tshirt,https://www.cos.com/en_usd/search.html?q=boxy+cotton+t-shirt
t2,top,"Ribbed knit tank, olive",Reformation,thereformation.com,romantic|minimalist,earth|neutrals,68,100,casual|date,#6E7A45|#3A3F27,top-tank,https://www.thereformation.com/search?q=ribbed+knit+tank
t3,top,Oversized graphic hoodie,Aimé Leon Dore,aimeleondore.com,streetwear,neutrals|cool,40,68,casual,#2A2A2A|#8A867A,top-hoodie,https://www.aimeleondore.com/search?q=hoodie
t4,top,"Silk blouse, ivory",Toteme,toteme-studio.com,minimalist|romantic,neutrals,55,85,work|dinner|date,#F4EEDC|#E4DBBF,top-blouse,https://toteme-studio.com/search?q=silk+blouse
t5,top,"Cropped leather tank, black",Rick Owens,rickowens.eu,edgy,neutrals|bold,60,90,night|concert,#1B1418,top-tank,https://www.rickowens.eu/en/US/search?q=leather+tank
t6,top,Printed silk shirt,Marni,marni.com,eclectic,bold|earth,55,85,dinner|gallery|date,#B23A2E|#D9A44F|#2A5F6E,top-blouse,https://www.marni.com/en-us/search?q=printed+shirt
b1,bottom,"Wide-leg wool trousers, black",The Frankie Shop,thefrankieshop.com,minimalist|edgy,neutrals|cool,35,72,work|dinner|gallery,#1B1418,bottom-trousers,https://thefrankieshop.com/search?q=wide+leg+trousers
b2,bottom,Vintage-wash straight jean,Levi's,levi.com,streetwear|minimalist|eclectic,cool|neutrals,40,80,casual|date,#4B5F7A,bottom-jean,https://www.levi.com/US/en_US/search?text=vintage+straight+jean
b3,bottom,"Utility cargo pant, olive",Carhartt WIP,carhartt-wip.com,streetwear|edgy,earth|neutrals,40,75,casual,#5F5A3E,bottom-cargo,https://www.carhartt-wip.com/en/search?q=cargo+pant
b4,bottom,"Bias-cut midi skirt, cream",Sézane,sezane.com,romantic|minimalist,neutrals,55,88,date|dinner|gallery,#F0E8CE,bottom-skirt,https://www.sezane.com/us/search?q=bias+midi+skirt
b5,bottom,"Pleated tennis skirt, navy",Uniqlo,uniqlo.com,romantic|eclectic|streetwear|preppy,cool|bold,55,90,casual|date,#1E2A44,bottom-skirt,https://www.uniqlo.com/us/en/search?q=pleated+skirt
b6,bottom,"Linen shorts, natural",Uniqlo,uniqlo.com,minimalist|romantic|streetwear,neutrals|earth,72,110,casual,#D9CFAE,bottom-shorts,https://www.uniqlo.com/us/en/search?q=linen+shorts
d1,dress,"Slip dress, sage",Reformation,thereformation.com,romantic|minimalist,earth|neutrals,65,100,date|dinner|wedding-guest,#A7B084,dress-slip,https://www.thereformation.com/search?q=slip+dress
d2,dress,Black column dress,Toteme,toteme-studio.com,minimalist|edgy,neutrals|bold,55,95,dinner|gallery|work,#1B1418,dress-column,https://toteme-studio.com/search?q=column+dress
d3,dress,Printed floral midi,Ganni,ganni.com,eclectic|romantic,bold|earth,62,100,date|wedding-guest|dinner,#D96B5A|#4B6E3B|#F0E8CE,dress-slip,https://www.ganni.com/en-us/search?q=floral+dress
s1,shoes,"Leather loafers, black",G.H. Bass,ghbass.com,minimalist|eclectic|edgy|preppy,neutrals|cool,40,90,work|dinner|gallery|date|casual,#1B1418,shoe-loafer,https://www.ghbass.com/search?q=weejun+loafer
s2,shoes,White low-top sneakers,Adidas Samba,adidas.com,streetwear|minimalist|eclectic|preppy,neutrals|cool,40,100,casual,#F4EEDC|#1B1418,shoe-sneaker,https://www.adidas.com/us/search?q=samba
s3,shoes,Chunky lug boots,Dr. Martens,drmartens.com,edgy|eclectic|streetwear,neutrals|bold,20,65,casual|concert|night,#1B1418,shoe-boot,https://www.drmartens.com/us/en/search?q=1460
s4,shoes,Kitten-heel slingback,Mansur Gavriel,mansurgavriel.com,romantic|minimalist,neutrals|earth,45,95,dinner|wedding-guest|date|work,#C9A57A,shoe-heel,https://www.mansurgavriel.com/search?q=slingback
s5,shoes,"Suede knee boot, cognac",Everlane,everlane.com,romantic|eclectic|minimalist,earth|neutrals,20,60,dinner|date|gallery,#8A5A3B,shoe-boot,https://www.everlane.com/search?q=knee+boot
o1,outerwear,Oversized camel wool coat,Toteme,toteme-studio.com,minimalist|romantic,neutrals|earth,15,55,work|dinner|date|gallery,#C9A57A,outer-coat,https://toteme-studio.com/search?q=wool+coat
o2,outerwear,Cropped leather moto,Acne Studios,acnestudios.com,edgy|eclectic|streetwear,neutrals|bold,45,65,night|concert|date|casual,#1B1418,outer-moto,https://www.acnestudios.com/us/en/search?q=leather+jacket
o3,outerwear,"Cotton trench, stone",Everlane,everlane.com,minimalist|romantic|preppy,neutrals|earth,45,68,work|gallery|date,#D6C9A8,outer-trench,https://www.everlane.com/search?q=trench+coat
o4,outerwear,"Chore jacket, faded indigo",Carhartt WIP,carhartt-wip.com,streetwear|minimalist|eclectic,cool|neutrals|earth,48,68,casual|date,#4B5F7A,outer-moto,https://www.carhartt-wip.com/en/search?q=chore+coat
o5,outerwear,"Silk-blend shawl, oxblood",& Other Stories,stories.com,romantic|eclectic,bold|earth,55,72,dinner|date|gallery,#7A2A2E,outer-shawl,https://www.stories.com/en_usd/search.html?q=shawl
