id,category,name,brand,search_url,save_as
t1,top,"Boxy cotton tee, cream",COS,https://www.cos.com/en_usd/search.html?q=boxy+cotton+t-shirt,t1.jpg
t2,top,"Ribbed knit tank, olive",Reformation,https://www.thereformation.com/search?q=ribbed+knit+tank,t2.jpg
t3,top,Oversized graphic hoodie,Aimé Leon Dore,https://www.aimeleondore.com/search?q=hoodie,t3.jpg
t4,top,"Silk blouse, ivory",Toteme,https://toteme-studio.com/search?q=silk+blouse,t4.jpg
t5,top,"Cropped leather tank, black",Rick Owens,https://www.rickowens.eu/en/US/search?q=leather+tank,t5.jpg
t6,top,Printed silk shirt,Marni,https://www.marni.com/en-us/search?q=printed+shirt,t6.jpg
b1,bottom,"Wide-leg wool trousers, black",The Frankie Shop,https://thefrankieshop.com/search?q=wide+leg+trousers,b1.jpg
b2,bottom,Vintage-wash straight jean,Levi's,https://www.levi.com/US/en_US/search?text=vintage+straight+jean,b2.jpg
b3,bottom,"Utility cargo pant, olive",Carhartt WIP,https://www.carhartt-wip.com/en/search?q=cargo+pant,b3.jpg
b4,bottom,"Bias-cut midi skirt, cream",Sézane,https://www.sezane.com/us/search?q=bias+midi+skirt,b4.jpg
b5,bottom,"Pleated tennis skirt, navy",Uniqlo,https://www.uniqlo.com/us/en/search?q=pleated+skirt,b5.jpg
b6,bottom,"Linen shorts, natural",Uniqlo,https://www.uniqlo.com/us/en/search?q=linen+shorts,b6.jpg
d1,dress,"Slip dress, sage",Reformation,https://www.thereformation.com/search?q=slip+dress,d1.jpg
d2,dress,Black column dress,Toteme,https://toteme-studio.com/search?q=column+dress,d2.jpg
d3,dress,Printed floral midi,Ganni,https://www.ganni.com/en-us/search?q=floral+dress,d3.jpg
s1,shoes,"Leather loafers, black",G.H. Bass,https://www.ghbass.com/search?q=weejun+loafer,s1.jpg
s2,shoes,White low-top sneakers,Adidas Samba,https://www.adidas.com/us/search?q=samba,s2.jpg
s3,shoes,Chunky lug boots,Dr. Martens,https://www.drmartens.com/us/en/search?q=1460,s3.jpg
s4,shoes,Kitten-heel slingback,Mansur Gavriel,https://www.mansurgavriel.com/search?q=slingback,s4.jpg
s5,shoes,"Suede knee boot, cognac",Everlane,https://www.everlane.com/search?q=knee+boot,s5.jpg
o1,outerwear,Oversized camel wool coat,Toteme,https://toteme-studio.com/search?q=wool+coat,o1.jpg
o2,outerwear,Cropped leather moto,Acne Studios,https://www.acnestudios.com/us/en/search?q=leather+jacket,o2.jpg
o3,outerwear,"Cotton trench, stone",Everlane,https://www.everlane.com/search?q=trench+coat,o3.jpg
o4,outerwear,"Chore jacket, faded indigo",Carhartt WIP,https://www.carhartt-wip.com/en/search?q=chore+coat,o4.jpg
o5,outerwear,"Silk-blend shawl, oxblood",& Other Stories,https://www.stories.com/en_usd/search.html?q=shawl,o5.jpg
o6,outerwear,Water-repellent shell,Uniqlo,https://www.uniqlo.com/us/en/search?q=blocktech+parka,o6.jpg
h1,headwear,Structured wool beret,Sézane,https://www.sezane.com/us/search?q=beret,h1.jpg
h2,headwear,"Cotton baseball cap, washed",Aimé Leon Dore,https://www.aimeleondore.com/search?q=cap,h2.jpg
h3,headwear,"Wide-brim wool hat, camel",Janessa Leone,https://janessaleone.com/search?q=wide+brim,h3.jpg
j1,jewelry,Chunky gold hoops,Missoma,https://www.missoma.com/search?q=chunky+gold+hoops,j1.jpg
j2,jewelry,Silver signet ring,Mejuri,https://mejuri.com/search?q=signet+ring,j2.jpg
j3,jewelry,Layered gold chain,Mejuri,https://mejuri.com/search?q=gold+chain,j3.jpg
j4,jewelry,Pearl drop earrings,Sophie Bille Brahe,https://sophiebillebrahe.com/search?q=pearl+earring,j4.jpg
g1,bag,"Structured leather tote, black",Mansur Gavriel,https://www.mansurgavriel.com/search?q=tote,g1.jpg
g2,bag,Woven raffia crossbody,Sézane,https://www.sezane.com/us/search?q=raffia+bag,g2.jpg
g3,bag,"Nylon shoulder bag, black",Prada (vintage),https://www.grailed.com/shop?category=women&search=prada+nylon+shoulder,g3.jpg
t7,top,"Merino turtleneck, charcoal",Everlane,https://www.everlane.com/search?q=merino+turtleneck,t7.jpg
t8,top,"Chunky wool crewneck, oatmeal",COS,https://www.cos.com/en_usd/search.html?q=chunky+wool+sweater,t8.jpg
t9,top,Cable-knit fisherman sweater,L.L. Bean,https://www.llbean.com/llb/search?q=fisherman+sweater,t9.jpg
t10,top,"Cashmere crewneck, camel",Naadam,https://naadam.co/search?q=cashmere+crewneck,t10.jpg
t11,top,"Waffle henley, forest",Buck Mason,https://www.buckmason.com/search?q=waffle+henley,t11.jpg
t12,top,Cropped varsity sweatshirt,Sporty & Rich,https://sportyandrich.com/search?q=sweatshirt,t12.jpg
t13,top,"Sheer mesh long-sleeve, black",Are.Na (indie),https://www.grailed.com/shop?category=women&search=sheer+mesh+top,t13.jpg
t14,top,Broderie anglaise blouse,Doen,https://shopdoen.com/search?q=broderie+blouse,t14.jpg
t15,top,"Boxy poplin shirt, white",Toteme,https://toteme-studio.com/search?q=poplin+shirt,t15.jpg
t16,top,Striped Breton long-sleeve,Saint James,https://www.saintjamesboutique.com/search?q=breton,t16.jpg
t17,top,"Rugby polo, wide stripe",Aimé Leon Dore,https://www.aimeleondore.com/search?q=rugby,t17.jpg
t18,top,"Slouchy cardigan, cream",Sézane,https://www.sezane.com/us/search?q=cardigan,t18.jpg
t19,top,"Corseted bustier top, ivory",Miaou,https://miaou.com/search?q=corset,t19.jpg
b7,bottom,"Thermal-lined trouser, black",Uniqlo Heattech,https://www.uniqlo.com/us/en/search?q=heattech+pants,b7.jpg
b8,bottom,"Corduroy wide-leg, chocolate",Ganni,https://www.ganni.com/en-us/search?q=corduroy+trouser,b8.jpg
b9,bottom,"Leather straight pant, black",Anine Bing,https://www.aninebing.com/search?q=leather+pant,b9.jpg
b10,bottom,Denim mini skirt,Agolde,https://agolde.com/search?q=denim+skirt,b10.jpg
